Item,Quantity,Reference,ASSY,Value,Rating,PCB Footprint,PN,Part Type,Manufacturer,Manufacturer Part Number,Description,Temperature
86,1,X2,,19.2000MHz 8PF,20ppm,x4_smd_2_5x2_0mm,306011203,Crystal,Interquip,5ZAA19200082TF70Q3,SMD Crystal;19.2000MHz-8PF-70R-20ppm-30ppm-4P-2.5*2.0*0.6mm,-40°C to 85°C
87,1,X3,,22.5792MHz 8PF,20ppm,x4_smd_2_5x2_0mm,306011204,Crystal,Interquip,5ZAA22579082TF70Q3,SMD Crystal;22.5792MHz-8PF-70R-20ppm-30ppm-4P-2.5*2.0*0.6mm,-40°C to 85°C
88,12,"C86,C95,C341,C416,C422,C426,C437,C441,C444,C454,C461,C479",,10uF,"4V,4A",EMIFIL_0603_3P,306050550,EMIFIL,Murata,NFM18HC106D0G3L,SMD Feed Through Capacitor(Filters);10uF-20%-DC 4V-4A-20mOhm;0603,-55°C to 125°C
89,32,"C108,C110,C117,C169,C195,C207,C219,C250,C280,C338,C340,C345,C347,C367,C374,C392,C393,C410,C412,C413,C415,C417,C418,C431,C432,C435,C436,C438,C471,C473,C474,C477",,1uF,"4V,2A",EMIFIL_0402_3P,306050551,EMIFIL,Murata,NFM15HC105D0G3D,SMD Feed Through Capacitor(Filters);1uF-20%-DC 4V-2A-30mOhm;0402,-55°C to 125°C
90,1,U15,,DP83867CRRGZR,1000Mbps,qfn48_0d5_7x7mm,310011319,Transceiver,TI,DP83867CRRGZR,SMD IC PHY;10/100/1000 Ethernet Physical Layer Transceiver;VQFN-48,0°C to 70°C
91,1,U19,,TDA4VM88TGBALFR,,fcbga827_0d8_24x24x2_8mm,310011438,MPU,TI,TDA4VM88TGBALFR,SMD IC MPU;Processors for ADAS and Autonomous Vehicle;FCBGA (827),-40°C to 125°C
92,1,U23,,TPS22965DSGR,6A,WSON8_0D5_2X2X0_8MM,310031694,Power Switch,TI,TPS22965DSGR,SMD IC PMIC;LOAD-SWITCH-6A-8WSON,-40°C to 105°C
93,2,"U9,U18",,TPS74801DRCR,,vson10_0d5_3x3x1mm,310031697,LDO,TI,TPS74801DRCR,SMD IC PMIC;LDO-ADJ-1.5A;VSON-10,-40°C to 125°C
94,1,U4,,TPS2561DRCR,2.5A,vson10_0d5_3x3x1mm,310031700,Power Switch,TI,TPS2561DRCR,SMD IC PMIC;Dual Channel Current-limited Power Switches 2.5A;SON-10,-40°C to 125°C
95,1,U10,,TPS3808G33DBVR,3.3V,sot23_6,310031703,Reset IC,TI,TPS3808G33DBVR,SMD IC PMIC;Programmable-Delay Supervisory Circuit 3.3V;SOT23-6,-40°C to 125°C
96,1,U1,,TPS2121RUXR,"2.8V-22V,4.5A",vqfn12_0d5_2x2_5x1mm,310032001,Power Switch,TI,TPS2121RUXR,SMD IC Priority Power MUX;2.8V-22V 4.5A;VQFN-12,-40°C to 125°C
